vx,vy,vz,wx,wy,wz,base1,shoulder1,elbow1,base2,shoulder2,elbow2,base3,shoulder3,elbow3,base4,shoulder4,elbow4,com_vx,com_vy,com_wz,height,e1x,e1y,e1z,e2x,e2y,e2z,e3x,e3y,e3z,e4x,e4y,e4z,com_x,com_y,quat_x,quat_y,quat_z,quat_w
0.90540195,0.03835374,-0.15244776,1.1314619,-0.31970558,-0.23575394,0.12514955,0.45350674,-1.7848455,-0.20047665,1.322565,-1.6602473,0.19990182,0.7126351,-1.6755447,-0.23496291,1.1087581,-1.6231424,2.0,0.0,0.0,0.26338106,0.29105377,0.18223515,-0.23948959,0.040992845,-0.17962973,-0.24068272,-0.17411405,0.21138893,-0.23802964,-0.34124088,-0.17878798,-0.24113315,2.5003376,-0.08131255,0.024032477,0.031287197,-0.042104475,0.998334
0.8896337,0.04502526,-0.26414168,0.37361297,-0.38438162,-0.61305153,0.12665775,0.60527545,-1.850543,-0.22121485,1.3649285,-1.6326746,0.19129826,0.67370856,-1.7499723,-0.31223667,1.024706,-1.8217837,2.0,0.0,0.0,0.25764048,0.27248278,0.18375814,-0.2337477,0.02661399,-0.18070929,-0.23510654,-0.19351253,0.20444773,-0.232597,-0.3106845,-0.19779898,-0.23519894,2.5179198,-0.08167598,0.031346437,0.027502105,-0.047205955,0.9980143
0.8580897,0.031562664,-0.4185156,0.38836,-0.04093113,-0.8426523,0.15040256,0.76898676,-1.903711,-0.30724752,1.2927706,-1.8531786,0.18453221,0.5106506,-1.7408338,-0.33697873,0.8902835,-2.0103168,2.0,0.0,0.0,0.24947639,0.24089074,0.18843997,-0.22584552,0.014138045,-0.18164842,-0.22703367,-0.17234732,0.20121592,-0.21601044,-0.24910963,-0.20929563,-0.20877732,2.5347126,-0.08197764,0.037735183,0.027072515,-0.055104934,0.9974
0.8641753,0.01695396,-0.5511551,0.58051956,-0.4220647,-1.1311324,0.16679646,0.8900076,-1.9485282,-0.42257214,1.0537981,-2.1463614,0.16475525,0.35466927,-1.6653252,-0.33199674,0.73235255,-2.0895689,2.0,0.0,0.0,0.23858066,0.20455192,0.19668354,-0.21515217,0.077372864,-0.1944872,-0.20814124,-0.13061367,0.19960475,-0.20400344,-0.19011232,-0.20382635,-0.17636824,2.5512154,-0.0823306,0.044679426,0.02584115,-0.06579928,0.9964971
0.85430187,0.01269036,-0.77309775,0.4746891,-0.5434078,-1.3934911,0.18603894,1.1034285,-2.1047597,-0.53338146,0.6564605,-2.2466583,0.16136295,0.43557402,-1.7851813,-0.36431065,0.55434483,-2.0622268,2.0,0.0,0.0,0.2236708,0.17893475,0.201989,-0.20003907,0.17738044,-0.2002947,-0.16047403,-0.09657935,0.19705594,-0.20009895,-0.14818276,-0.19523439,-0.15559644,2.5678039,-0.082435325,0.04828761,0.020894704,-0.07991743,0.99541193
0.85599685,-0.04079036,-0.91857255,0.69810635,-0.79881454,-1.1892333,0.25900465,1.1963818,-2.404636,-0.5680809,0.2559796,-2.1498613,0.182583,0.5922997,-1.9335167,-0.4225371,0.3978716,-1.9733188,2.0,0.0,0.0,0.20548968,0.15219724,0.19899406,-0.16264255,0.26021206,-0.19708122,-0.1078201,-0.10711979,0.19442804,-0.18161735,-0.11149021,-0.19536759,-0.1431454,2.5839176,-0.08332996,0.04968303,0.014513292,-0.09311715,0.9943088
0.9665756,-0.17153677,-0.92307806,1.539781,-1.204694,-0.82067764,0.37689823,1.0314598,-2.548244,-0.5501047,0.00013738422,-1.9697272,0.19875136,0.75702393,-2.0690768,-0.45228702,0.3327037,-1.9011801,2.0,0.0,0.0,0.18618897,0.1681501,0.19333096,-0.09418888,0.32462558,-0.18670045,-0.07803498,-0.13404472,0.19740267,-0.16229123,-0.08208379,-0.20097226,-0.13712016,2.601218,-0.08685944,0.05644475,0.004780735,-0.10338812,0.9930267
0.9306791,0.09704836,-0.4638869,-5.248759,-2.427618,0.4176935,0.536993,0.5408698,-2.4476254,-0.4843794,0.031727355,-1.7605882,0.2716222,0.91646713,-2.1945324,-0.42844826,0.44330803,-2.0231836,2.0,0.0,0.0,0.17121202,0.20195873,0.18929687,-0.04653327,0.37113932,-0.18444358,-0.07580271,-0.15745874,0.1997802,-0.1471828,-0.069935106,-0.20416425,-0.147365,2.61918,-0.09080007,0.030903636,-0.0069658654,-0.107469216,0.99370354
1.0294507,0.17902724,-0.30078217,-4.317418,-1.3827283,-0.20953472,0.5580902,0.0497418,-2.0657525,-0.37952462,0.11475271,-1.6733577,0.3790114,1.0856953,-2.2982383,-0.3624584,0.57319266,-2.100778,2.0,0.0,0.0,0.16411513,0.26534203,0.18542796,-0.026756734,0.37835652,-0.21011789,-0.117573634,-0.1771473,0.19590034,-0.14026083,-0.09025376,-0.20710032,-0.14010528,2.6390896,-0.09170338,-0.017120115,-0.020126449,-0.10783985,0.9938171
1.1991324,0.25148752,-0.14801562,-2.8728647,-0.10100404,-0.4768034,0.5141161,-0.24766608,-1.700136,-0.31555694,0.21776564,-1.7406871,0.4351095,1.2571158,-2.3602204,-0.3256522,0.68936914,-2.136178,2.0,0.0,0.0,0.16071178,0.3525562,0.18876654,-0.03789699,0.36778364,-0.22039017,-0.13687973,-0.20108299,0.18923867,-0.1366373,-0.1108913,-0.21231836,-0.13665715,2.6623967,-0.09210006,-0.051070265,-0.02226913,-0.1121666,0.9921264
1.3782341,0.25982913,-0.03035736,-1.2216208,1.0260158,-0.18915251,0.50436985,-0.39834547,-1.4696441,-0.29713392,0.32396227,-1.8233681,0.4382931,1.4099551,-2.3717763,-0.31218377,0.80486953,-2.1429398,2.0,0.0,0.0,0.16015552,0.41932565,0.18466789,-0.057481125,0.34422922,-0.22282048,-0.13630442,-0.22685276,0.18262455,-0.13605498,-0.13424806,-0.2180763,-0.13610283,2.6892693,-0.092908934,-0.06851731,-0.014192889,-0.11579355,0.9908056
1.5541763,0.18085372,0.06371766,0.47864762,1.6431891,0.6958056,0.5417091,-0.4154636,-1.382194,-0.32141832,0.47089607,-1.9305154,0.41544294,1.5051539,-2.3210406,-0.23552236,1.1254658,-2.2184532,2.0,0.0,0.0,0.16159758,0.45388755,0.17808057,-0.07657538,0.3135431,-0.22859605,-0.13776912,-0.25273243,0.1806501,-0.13759652,-0.16461198,-0.22069399,-0.13776484,2.7195604,-0.095691755,-0.06993109,0.00067965547,-0.112792246,0.99115455
1.6096312,-0.09976094,0.46675992,2.168725,-0.115467936,0.060728215,0.4961866,-0.28943408,-1.4054382,-0.37642956,0.69993895,-2.015993,0.35047013,1.5683397,-2.221012,-0.27393752,1.3359013,-2.1634166,2.0,0.0,0.0,0.16843958,0.45702794,0.18984339,-0.10408206,0.27808473,-0.22767706,-0.14466864,-0.28020346,0.18174918,-0.14472035,-0.22684003,-0.2042884,-0.14478056,2.7506812,-0.10232507,-0.044982683,0.0019059504,-0.11120932,0.99277663
1.6206231,-0.06333613,0.67402726,-1.2065883,0.28493926,1.1867381,0.4707027,-0.15417087,-1.5273145,-0.36547822,0.87653625,-2.000017,0.3458884,1.5283787,-2.1507678,-0.22617343,1.4177327,-2.0679662,2.0,0.0,0.0,0.18089443,0.43691248,0.19850333,-0.13928944,0.22754525,-0.23181221,-0.15718427,-0.30582377,0.18725377,-0.15775344,-0.27810684,-0.20000243,-0.15684801,2.782126,-0.10995427,-0.047646884,0.004016747,-0.10388392,0.99343944
1.5648774,0.048631065,0.8434444,0.5089857,1.8500357,1.4201847,0.42523414,-0.05624917,-1.6043888,-0.33584082,1.0720577,-1.9675617,0.3023484,1.4035218,-2.144494,-0.16972053,1.4210215,-1.915128,2.0,0.0,0.0,0.19660586,0.41092655,0.19186567,-0.15827838,0.18405485,-0.23968448,-0.17290735,-0.30915296,0.19011162,-0.17346454,-0.31168792,-0.19463019,-0.17323154,2.8138268,-0.11505067,-0.047165554,0.017870389,-0.09141993,0.9945343
1.5904193,0.043325916,0.8396814,1.7133678,0.14576015,0.95979667,0.3473952,0.056846496,-1.6879607,-0.31871313,1.1743151,-1.894529,0.26260218,1.2812918,-2.1498535,-0.09393921,1.3848511,-1.8714511,2.0,0.0,0.0,0.21282803,0.38482752,0.18892089,-0.18439595,0.13080086,-0.23654202,-0.18954194,-0.29281214,0.18294565,-0.18281853,-0.34414244,-0.19133049,-0.18982336,2.845989,-0.11884753,-0.036027305,0.026653754,-0.0817725,0.995643
1.7326895,0.062784165,0.8274118,-0.36000043,-1.774859,0.7604639,0.28513566,0.2975348,-1.8087846,-0.3115478,1.2114704,-1.7299492,0.27126,1.1562711,-2.190384,-0.055520363,1.3583093,-1.921346,2.0,0.0,0.0,0.22779539,0.35503072,0.18289822,-0.20384476,0.09023855,-0.23178257,-0.20465697,-0.27376935,0.17997494,-0.18448505,-0.3497939,-0.1746495,-0.20508468,2.8798487,-0.12222843,-0.03436483,0.016454574,-0.07318335,0.99659044
1.772009,0.11281392,0.66741264,-0.99395305,-2.062272,0.85055333,0.2702772,0.6862314,-1.9075515,-0.28805512,1.2181311,-1.5161148,0.25925085,0.9493169,-2.1618383,-0.025073867,1.3233091,-2.107882,2.0,0.0,0.0,0.24131419,0.3063814,0.17688039,-0.2173636,0.054399196,-0.23610598,-0.2183793,-0.24179031,0.18025993,-0.18285075,-0.33183908,-0.16632096,-0.21333833,2.9149747,-0.12437708,-0.042949717,-0.0021894125,-0.064254306,0.99700654
1.6926076,0.111735575,0.38191926,-0.4106993,-1.567972,0.63662595,0.26327494,1.0501337,-1.8722358,-0.33977795,1.1430132,-1.6993257,0.22725493,0.6705583,-2.0447085,-0.030911049,1.2383521,-2.236918,2.0,0.0,0.0,0.25122634,0.22952199,0.17753437,-0.22743578,0.02082996,-0.23970878,-0.22860092,-0.19657023,0.17468148,-0.19472595,-0.28383133,-0.16245079,-0.19954145,2.9489248,-0.1257456,-0.04565028,-0.017993381,-0.05667381,0.99718624
1.5916235,0.053200703,0.25164393,0.45464724,-1.6764019,0.57608235,0.24366218,1.1416715,-1.7762437,-0.43038756,0.88821536,-1.9971173,0.20178314,0.46182415,-1.9100894,-0.06725679,1.0745417,-2.285597,2.0,0.0,0.0,0.2584843,0.14434315,0.18026643,-0.2350513,0.085585624,-0.2480866,-0.20347217,-0.13862266,0.16921319,-0.20940214,-0.24229309,-0.1625174,-0.18390976,2.9808018,-0.12735297,-0.041629653,-0.033273395,-0.050139047,0.9973194
1.5642203,0.06161747,-0.09616583,-0.1791989,-1.7583842,0.20105891,0.23234916,1.3242701,-2.019871,-0.5314926,0.47950298,-2.0891182,0.19948454,0.40246138,-1.8100895,-0.16395542,0.8404998,-2.2210495,2.0,0.0,0.0,0.2611334,0.112739824,0.18097621,-0.23798649,0.19669999,-0.24405953,-0.13653731,-0.09236776,0.1664077,-0.21478488,-0.20160635,-0.16727582,-0.1718157,3.0118194,-0.12889893,-0.040667344,-0.04960744,-0.04645305,0.9968587
1.573893,0.046106666,-0.40898883,0.02347004,-2.353717,0.09803997,0.30744636,1.3603497,-2.3444903,-0.6022012,0.12303462,-2.0392702,0.255827,0.5574185,-1.8561529,-0.29526377,0.5930709,-2.067138,2.0,0.0,0.0,0.25823438,0.11143241,0.17351165,-0.1850608,0.2843093,-0.22828005,-0.055120856,-0.07559572,0.16846319,-0.22353423,-0.1580559,-0.18361984,-0.16172245,3.0434341,-0.1309831,-0.044594336,-0.07086717,-0.04524841,0.99546057
1.6634221,-0.056395695,-0.51095253,-0.35331184,-3.099777,0.30004314,0.40861803,1.1810545,-2.530036,-0.61902183,-0.098313846,-1.922872,0.3050071,0.78834385,-1.9989463,-0.3617695,0.45735806,-1.8776218,2.0,0.0,0.0,0.25371456,0.14755714,0.1767812,-0.1114015,0.33671194,-0.20705004,0.014870137,-0.10130685,0.1823193,-0.22971877,-0.11185504,-0.20692107,-0.15259218,3.0767553,-0.13494664,-0.05130804,-0.09821866,-0.042481326,0.99293303
1.7114197,-0.14357056,-0.64194554,-0.34741685,-3.8166385,0.4473464,0.49096227,0.87050766,-2.4750516,-0.568412,-0.17887938,-1.7902132,0.37306455,1.0348076,-2.1224709,-0.35975692,0.43973222,-1.7444948,2.0,0.0,0.0,0.24931268,0.18392518,0.17981486,-0.04956016,0.36673546,-0.19343714,0.0627885,-0.1367349,0.19016455,-0.22533166,-0.08051524,-0.22688535,-0.16135517,3.111964,-0.14113711,-0.06086582,-0.13245384,-0.037026476,0.9886255
1.5721079,-0.16055714,-0.600959,0.11295784,-2.1262476,0.08560081,0.47138137,0.4613133,-2.2303922,-0.5097642,-0.14354528,-1.6587653,0.44078884,1.2532114,-2.1844919,-0.28642407,0.40507567,-1.5962383,2.0,0.0,0.0,0.24688761,0.2230845,0.18899171,-0.020685703,0.3877702,-0.19308189,0.08468716,-0.16857472,0.19501162,-0.22286415,-0.06266895,-0.24063466,-0.1845315,3.1461449,-0.14780644,-0.06398104,-0.15902653,-0.03264174,0.98465806
1.5931454,-0.1426361,-0.46234727,-0.62148845,-0.18042448,-0.004089671,0.40023512,0.11226659,-1.9466488,-0.43332598,-0.10290963,-1.555728,0.49508646,1.4131336,-2.1806617,-0.28180826,0.58466333,-1.7458595,2.0,0.0,0.0,0.24771802,0.29061663,0.19657539,-0.0102392435,0.4015172,-0.20708278,0.07097866,-0.1993717,0.19812799,-0.22358078,-0.037858374,-0.23937088,-0.22374558,3.1789913,-0.15365757,-0.06739175,-0.16843621,-0.031969007,0.9828864
1.7329307,-0.16230641,-0.36963344,0.06579617,0.713795,-0.07377434,0.32516262,-0.076432936,-1.7242059,-0.35877618,-0.03029335,-1.4519792,0.5239915,1.5189389,-2.1204953,-0.27597,0.7331242,-1.8310535,2.0,0.0,0.0,0.2519749,0.35874602,0.1925355,-0.0017781556,0.40945786,-0.21623369,0.038870484,-0.23096272,0.20073338,-0.22786282,-0.071614325,-0.23624612,-0.22800668,3.2129517,-0.15920943,-0.068408854,-0.16512737,-0.03260915,0.9833565
1.8431191,-0.20099168,-0.36577076,0.45898944,1.5404063,-0.06308095,0.28080168,-0.15400557,-1.5783093,-0.30345538,0.06521572,-1.3622166,0.5318948,1.5730709,-2.0148966,-0.23860082,0.9040763,-1.9224309,2.0,0.0,0.0,0.25751436,0.40220463,0.1855278,-0.00845477,0.40866324,-0.22524554,-0.014725745,-0.26401657,0.20432104,-0.23365521,-0.106300704,-0.23278011,-0.23354375,3.2489748,-0.16551007,-0.065547355,-0.15323319,-0.033229504,0.98545367
1.8771598,-0.20600504,-0.37609926,0.26910853,2.1274328,-0.12470403,0.24952485,-0.16632655,-1.5187914,-0.25038764,0.14305092,-1.348748,0.5052041,1.6026719,-1.8939401,-0.19883797,1.0549884,-1.9684606,2.0,0.0,0.0,0.26236087,0.42413256,0.1825632,-0.028365448,0.39513308,-0.23128825,-0.07756099,-0.29845688,0.20800802,-0.23895898,-0.14599763,-0.22046024,-0.23854297,3.2863903,-0.17230886,-0.060935434,-0.13481112,-0.034944814,0.9883784
1.869374,-0.2156252,-0.3779771,0.10358065,2.9892685,0.20537199,0.21261275,-0.13239488,-1.5384501,-0.2013543,0.17519842,-1.3963112,0.42378533,1.5810801,-1.8271348,-0.17438358,1.1476861,-1.9459411,2.0,0.0,0.0,0.2656908,0.43079543,0.17780446,-0.054237857,0.37600785,-0.22680998,-0.12512757,-0.33269513,0.20916922,-0.24266025,-0.18578944,-0.20769082,-0.24192695,3.32409,-0.17949866,-0.056399796,-0.108194046,-0.035239838,0.9919028
