vx,vy,vz,wx,wy,wz,base1,shoulder1,elbow1,base2,shoulder2,elbow2,base3,shoulder3,elbow3,base4,shoulder4,elbow4,com_vx,com_vy,com_wz,height,e1x,e1y,e1z,e2x,e2y,e2z,e3x,e3y,e3z,e4x,e4y,e4z,com_x,com_y,quat_x,quat_y,quat_z,quat_w
0.62656903,-0.028576043,-0.057306096,-0.7064008,-0.26354584,-0.61802906,0.18812732,0.8279836,-1.441465,-0.14374398,0.7192652,-1.6994848,0.13740602,0.75877756,-1.809288,-0.20471795,0.7545949,-1.8102394,1.5,0.0,0.0,0.29387483,0.12769638,0.21292405,-0.24898191,0.23698656,-0.15738605,-0.27043253,-0.20830297,0.2048207,-0.24083585,-0.18350483,-0.1660613,-0.2703172,0.094044,0.008015145,0.042922743,-0.017067492,-0.05389523,0.99747765
0.6670665,-0.030231347,-0.034121316,0.17286427,-2.334695,-0.7532941,0.1951271,0.8732482,-1.3894075,-0.12819035,0.7764003,-1.6846808,0.14098865,0.6412493,-1.8591743,-0.23795943,0.6398081,-1.8472018,1.5,0.0,0.0,0.29315034,0.1510775,0.22736752,-0.2706059,0.22739248,-0.15374714,-0.26950628,-0.16403903,0.19552724,-0.23225424,-0.15689723,-0.17349592,-0.25494543,0.10680857,0.006287002,0.041355643,-0.032801785,-0.061657928,0.99670064
0.68637305,-0.012640679,-0.23342194,-0.017849023,-2.9961774,-0.70975006,0.20299874,0.96333456,-1.2786719,-0.11556908,0.8478025,-1.6539755,0.16091071,0.57999164,-1.8758118,-0.25272897,0.5312253,-1.8477421,1.5,0.0,0.0,0.29015335,0.13483752,0.2295253,-0.26710618,0.21729217,-0.15042332,-0.26651147,-0.12440518,0.1926197,-0.21630844,-0.11825518,-0.17972505,-0.23731488,0.12038522,0.0046703974,0.03973841,-0.059967242,-0.070133366,0.9949403
0.629216,-0.014481313,-0.45204097,-0.018396944,-2.7401795,-0.7189229,0.20965767,1.0862144,-1.1407493,-0.11857224,0.87111974,-1.6665821,0.17042136,0.5124402,-1.7873809,-0.24297076,0.4517583,-1.7748301,1.5,0.0,0.0,0.2836662,0.09919481,0.23141798,-0.26100633,0.20709082,-0.14784656,-0.26006562,-0.09770955,0.19530018,-0.20524833,-0.08090573,-0.18096787,-0.22536391,0.13414235,0.0032632144,0.03820334,-0.08733668,-0.07837408,0.992356
0.50985724,-0.0279823,-0.6460559,-0.15820739,-2.4524941,-0.6379623,0.21691337,1.2000331,-1.2443376,-0.100289926,0.7789501,-1.7491152,0.16456452,0.43310663,-1.6772394,-0.19967683,0.44920874,-1.760404,1.5,0.0,0.0,0.2736126,0.04597099,0.22941062,-0.24886276,0.21628994,-0.14885814,-0.2430641,-0.07208235,0.2012107,-0.2131579,-0.05176715,-0.17886345,-0.230863,0.1470967,0.001933443,0.032893766,-0.11087867,-0.085780725,0.9895785
0.4337697,-0.005683977,-0.7724434,-0.64826745,-2.2720385,-0.26723263,0.22762202,1.2754987,-1.5566071,-0.064211324,0.59375197,-1.7899804,0.14741728,0.3952332,-1.6777999,-0.20548642,0.56159705,-1.9022979,1.5,0.0,0.0,0.26061392,0.043446444,0.22295111,-0.22466609,0.2609185,-0.1462651,-0.20832163,-0.043844912,0.20251444,-0.22490174,-0.039411385,-0.17038207,-0.23675796,0.15960933,0.00082042767,0.025224974,-0.1337018,-0.09120479,0.9864934
0.6308618,0.19421406,-0.43747517,-1.4926418,0.37322974,0.00052145775,0.28545454,1.2068367,-1.8760468,-0.026393503,0.37747836,-1.7564281,0.19013435,0.47952223,-1.7960619,-0.1829747,0.62986565,-1.963314,1.5,0.0,0.0,0.25312516,0.09111093,0.21377178,-0.1944567,0.31645772,-0.14250247,-0.17226449,-0.023757042,0.19314201,-0.22912213,-0.053384837,-0.17391405,-0.22911902,0.17377247,0.0016359619,0.0024561188,-0.13504672,-0.09570758,0.9862031
0.7769131,0.16175179,-0.34868658,-0.33555418,-0.11651833,0.46768937,0.2857109,1.0272119,-2.062834,-0.054479416,0.25513536,-1.7203927,0.19660588,0.55155283,-1.8740274,-0.18789394,0.7080165,-2.0134735,1.5,0.0,0.0,0.24974152,0.16099171,0.20789537,-0.15528212,0.35918012,-0.14753333,-0.14242285,-0.03966654,0.18971334,-0.22574233,-0.07023054,-0.17740679,-0.22568789,0.19001764,0.0021317955,-0.0034437252,-0.13372657,-0.09349113,0.98659253
0.8930866,0.13555512,-0.26041505,-0.0887999,-0.11548081,0.57699466,0.27389982,0.82447916,-2.1370423,-0.09670264,0.22652273,-1.6991814,0.19711506,0.6323059,-1.9389898,-0.19651899,0.80812055,-2.0647101,1.5,0.0,0.0,0.24863231,0.21961276,0.1973752,-0.12031107,0.3787224,-0.15808009,-0.12375843,-0.05561161,0.18763983,-0.22464323,-0.089425415,-0.17894876,-0.22459236,0.20811044,0.0015726541,-0.0048151584,-0.13483754,-0.08807899,0.9869335
1.0073102,0.120860405,-0.17286429,0.12358265,0.11602395,0.4634161,0.26344332,0.64110136,-2.1454864,-0.1325292,0.24891163,-1.7003875,0.19391572,0.7183044,-1.987733,-0.20542212,0.91268104,-2.0995202,1.5,0.0,0.0,0.24990797,0.2604233,0.1889127,-0.09339103,0.3816946,-0.16772895,-0.11834259,-0.07299284,0.18615852,-0.22587258,-0.11000494,-0.18000484,-0.22584376,0.22787341,0.00049492787,-0.0041980688,-0.13465728,-0.08277465,0.98741996
1.116046,0.104912095,-0.08670697,0.23959813,0.5629696,0.39617354,0.257522,0.4890745,-2.1187038,-0.15569693,0.2969429,-1.7272835,0.18672931,0.8030449,-2.0148563,-0.2133345,1.0106354,-2.109894,1.5,0.0,0.0,0.25349435,0.2894435,0.18361874,-0.074725345,0.37489593,-0.17504668,-0.12128708,-0.091833755,0.18510546,-0.22943397,-0.13154289,-0.18078206,-0.22939509,0.24927627,-0.0009810459,-0.0019622317,-0.13091774,-0.07816921,0.98830473
1.2239506,0.0894397,0.000934851,0.26881984,1.0952228,0.31386694,0.25597888,0.36891812,-2.0771184,-0.16348319,0.35419923,-1.7706944,0.1768385,0.8786506,-2.0154042,-0.2173309,1.0918349,-2.0904644,1.5,0.0,0.0,0.25921422,0.31116733,0.1810322,-0.06381665,0.36214045,-0.17884587,-0.12851909,-0.11207982,0.18445867,-0.23511484,-0.1539961,-0.18133293,-0.23508014,0.27233124,-0.0028620502,0.0010423099,-0.12222202,-0.07432377,0.9897156
1.3235015,0.07241197,0.088859975,0.3275583,1.6655031,0.25464958,0.25730285,0.2787825,-2.0212538,-0.15443812,0.41738284,-1.8143173,0.16433552,0.93736565,-1.9859182,-0.21697907,1.1480795,-2.0397959,1.5,0.0,0.0,0.26677462,0.32761905,0.18019938,-0.060295224,0.3463582,-0.17873907,-0.13886918,-0.13367659,0.18421295,-0.24266094,-0.17746378,-0.18164834,-0.24275063,0.29706633,-0.0051924614,0.004797985,-0.1080411,-0.07112536,0.9915872
