vx,vy,vz,wx,wy,wz,base1,shoulder1,elbow1,base2,shoulder2,elbow2,base3,shoulder3,elbow3,base4,shoulder4,elbow4,com_vx,com_vy,com_wz,height,e1x,e1y,e1z,e2x,e2y,e2z,e3x,e3y,e3z,e4x,e4y,e4z,com_x,com_y,quat_x,quat_y,quat_z,quat_w
0.87851465,-0.046249874,-0.0022525645,0.7804829,0.79320335,-0.093896754,0.15022066,0.43819213,-1.7908632,-0.17221943,1.3100979,-1.6621515,0.2362583,0.6692701,-1.622158,-0.10758222,1.1644616,-1.6193359,1.0,0.0,0.0,0.26564038,0.29184985,0.18236634,-0.2417489,0.04051212,-0.17861287,-0.24294204,-0.17321208,0.21316324,-0.24028896,-0.34171623,-0.17642082,-0.24339247,2.5000904,-0.08245688,0.013348999,0.039203342,-0.040337786,0.99832755
0.85980564,-0.12457634,0.056616478,0.80529106,1.023986,-0.6320582,0.1579778,0.5042121,-1.8348972,-0.1717272,1.3280753,-1.6666759,0.22235905,0.7029298,-1.6026977,-0.08967749,1.1194751,-1.6613356,1.0,0.0,0.0,0.2652001,0.27349958,0.18650825,-0.24130997,0.02623355,-0.17648928,-0.24262929,-0.19119927,0.21346726,-0.24176747,-0.33155644,-0.16610521,-0.24290754,2.5172744,-0.085775554,0.019413827,0.048814207,-0.044759534,0.9976157
0.8383358,-0.18427618,0.07953108,0.58772254,1.1767672,-1.0041378,0.18013798,0.5691487,-1.8656449,-0.17687905,1.2970015,-1.7807093,0.206392,0.7302335,-1.571681,-0.071946226,1.0437802,-1.7061763,1.0,0.0,0.0,0.26500818,0.25404695,0.19379416,-0.24112776,0.019828523,-0.17198765,-0.24260084,-0.21041508,0.21291564,-0.24164465,-0.3147243,-0.15997826,-0.24250145,2.5339558,-0.090467416,0.025275445,0.060320813,-0.053613164,0.9964177
0.80850977,-0.23507473,0.09551724,0.6676468,1.2437996,-1.2883996,0.20918033,0.63185245,-1.882937,-0.20995912,1.1777825,-1.9222124,0.18971784,0.749254,-1.5272894,-0.0622552,0.9458814,-1.7335758,1.0,0.0,0.0,0.26476252,0.23403326,0.20291011,-0.24091125,0.046045806,-0.16827229,-0.24214923,-0.23027593,0.21163096,-0.24151665,-0.29088035,-0.15320192,-0.24176535,2.5499613,-0.09639056,0.03207312,0.07278067,-0.06558999,0.994672
0.7771139,-0.28481045,0.11794218,0.7561628,1.1758152,-1.5544317,0.24218218,0.6921252,-1.8831804,-0.2419497,0.98497087,-2.0188048,0.1689102,0.76470894,-1.477163,-0.07578973,0.91388273,-1.7011977,1.0,0.0,0.0,0.26451397,0.21347506,0.2134601,-0.24074687,0.09590825,-0.16925293,-0.24143574,-0.2507347,0.21045586,-0.24138784,-0.2651679,-0.14778504,-0.24132118,2.565156,-0.103569195,0.039559007,0.0845388,-0.08020698,0.9923986
0.7270248,-0.31849912,0.15934181,0.99793625,1.0547382,-1.881962,0.2781767,0.74746245,-1.8638272,-0.22524935,0.9081546,-2.077359,0.14392632,0.7765684,-1.4213047,-0.0960792,0.8955157,-1.6535999,1.0,0.0,0.0,0.26456833,0.19222698,0.22529171,-0.24092242,0.15125786,-0.16794765,-0.24106772,-0.27156645,0.20750596,-0.24159215,-0.26640102,-0.14979431,-0.24148403,2.5792875,-0.111885354,0.047194492,0.09533093,-0.09778949,0.9895059
0.69240826,-0.31087843,0.20237193,1.1347333,0.21722914,-2.0831525,0.3083116,0.7993139,-1.8174635,-0.1826285,0.9492535,-2.1241705,0.1406747,0.77861273,-1.4088893,-0.12253176,0.8850194,-1.6129035,1.0,0.0,0.0,0.26504695,0.17023423,0.23748589,-0.24155357,0.17086963,-0.15817417,-0.24163887,-0.29254946,0.20199357,-0.24224743,-0.27340844,-0.15497382,-0.2419881,2.5923018,-0.12069809,0.055244885,0.10041937,-0.11825395,0.9863468
0.7182213,-0.2455703,0.3002397,1.2359864,-0.6067735,-1.7504821,0.31841147,0.8448672,-1.7429012,-0.14673983,0.9964148,-2.1416934,0.1441403,0.751341,-1.4537361,-0.15580682,0.89611775,-1.5827923,1.0,0.0,0.0,0.26666865,0.14808638,0.24798171,-0.24335414,0.16244537,-0.14757131,-0.24307361,-0.2988738,0.20348372,-0.23886378,-0.28087664,-0.1606996,-0.24367681,2.6053357,-0.1294469,0.06481092,0.09684114,-0.1380911,0.98354065
0.763898,-0.11590268,0.36177403,1.0938712,-0.91449857,-1.088412,0.29411164,0.8807088,-1.6781429,-0.13152978,1.0493956,-2.1275654,0.122829184,0.6651324,-1.512751,-0.19101904,0.92330694,-1.5532327,1.0,0.0,0.0,0.26973468,0.1271992,0.25488234,-0.24661297,0.15168846,-0.1405415,-0.24614297,-0.27977082,0.20926097,-0.23536736,-0.29081732,-0.16555,-0.24684638,2.6194603,-0.13732623,0.07539444,0.087928236,-0.1530063,0.98141396
0.7800363,-0.0035409303,0.41357768,0.24600257,-0.98768926,-0.82600075,0.21317916,0.8432917,-1.7815967,-0.12473566,1.0958033,-2.0864506,0.07741014,0.53896546,-1.5292051,-0.2167411,0.94894856,-1.5096686,1.0,0.0,0.0,0.27419493,0.11116019,0.25438577,-0.2512349,0.1393088,-0.13698348,-0.25061476,-0.23823497,0.20808779,-0.2370851,-0.30274686,-0.1699456,-0.25138927,2.6346447,-0.14379983,0.08106139,0.07845173,-0.16321641,0.98011976
0.80478084,0.09736223,0.40100726,-0.92854065,-1.2721218,-0.7215832,0.12344506,0.7064576,-1.8538679,-0.106959604,1.1311028,-2.0201752,0.03565893,0.42124423,-1.4865924,-0.22365396,0.9715972,-1.4522076,1.0,0.0,0.0,0.27935386,0.14119227,0.23106235,-0.2512869,0.126245,-0.13600177,-0.25588274,-0.19302252,0.19719093,-0.2446546,-0.3156028,-0.17507502,-0.2566265,2.650738,-0.14875422,0.0749981,0.06853696,-0.17109936,0.9800016
0.78140604,0.16019407,0.382867,-1.0573912,-1.0816112,-0.3697956,0.026967768,0.5848977,-1.859483,-0.08597082,1.1561993,-1.9371562,0.040658645,0.4797097,-1.5020987,-0.21781507,0.9933446,-1.3899473,1.0,0.0,0.0,0.28449303,0.19139552,0.20194657,-0.25478676,0.11280248,-0.1373199,-0.26114708,-0.156926,0.18291196,-0.25908548,-0.32911336,-0.18021151,-0.26186293,2.6672022,-0.1522666,0.061880883,0.058409277,-0.17625546,0.9806596
0.7645508,0.16378996,0.42519546,-1.1956204,-0.38968617,-0.26266754,0.0031237733,0.6053752,-1.8383591,-0.06146316,1.1643767,-1.8508949,0.057844285,0.5470403,-1.5116923,-0.1455541,0.9926916,-1.4815545,1.0,0.0,0.0,0.29061946,0.22856292,0.17171325,-0.26295823,0.09913349,-0.13953748,-0.2673936,-0.16526254,0.17884217,-0.26718915,-0.34259188,-0.18391111,-0.26812032,2.6834342,-0.15530165,0.045405943,0.054776292,-0.17863399,0.98133975
0.78791076,0.111178055,0.40659598,0.33866712,-0.8041646,-0.42204934,0.0029299804,0.6661189,-1.8043772,-0.062259205,1.1691757,-1.7675593,0.048461244,0.6077014,-1.5046589,-0.09496617,0.9374501,-1.5881417,1.0,0.0,0.0,0.2969439,0.22377641,0.16007645,-0.27314854,0.08573844,-0.14090398,-0.27383548,-0.18188012,0.17550959,-0.2734875,-0.3211193,-0.17051224,-0.270038,2.699524,-0.15895468,0.04241479,0.04855746,-0.18233809,0.9811198
0.79359615,0.04776571,0.33437893,0.04706804,-0.88252985,-0.5637922,0.0041039535,0.7238743,-1.7604771,-0.07677147,1.0899444,-1.8143662,0.035580553,0.6732187,-1.4988626,-0.054589983,0.84342355,-1.6477828,1.0,0.0,0.0,0.30229533,0.20757478,0.16143736,-0.27859485,0.073322035,-0.14089517,-0.27940324,-0.19890529,0.17240942,-0.2788936,-0.28138107,-0.15570809,-0.2731008,2.7151475,-0.16378699,0.041737724,0.04046684,-0.18796907,0.98045295
