vx,vy,vz,wx,wy,wz,base1,shoulder1,elbow1,base2,shoulder2,elbow2,base3,shoulder3,elbow3,base4,shoulder4,elbow4,com_vx,com_vy,com_wz,height,e1x,e1y,e1z,e2x,e2y,e2z,e3x,e3y,e3z,e4x,e4y,e4z,com_x,com_y,quat_x,quat_y,quat_z,quat_w
0.90705043,0.011987122,-0.08360613,-0.52469033,0.16194461,-0.26978987,0.14954147,0.47970042,-1.8142322,-0.1620905,1.3128585,-1.6544117,0.24262704,0.7090891,-1.6546776,-0.10946474,1.1844543,-1.6383405,1.5,0.0,0.0,0.2643615,0.29121247,0.18207967,-0.24047002,0.040513404,-0.1793434,-0.24166316,-0.17390321,0.21205421,-0.23901008,-0.34171826,-0.1778272,-0.24211359,2.50047,-0.08168311,0.0069564963,0.034625225,-0.04123006,0.99852526
0.8898355,-0.037752274,-0.1295238,0.33480012,0.0028026619,-0.71777934,0.16093677,0.569584,-1.8612363,-0.1777216,1.264937,-1.8108851,0.23477244,0.78646916,-1.6816373,-0.093527704,1.1358893,-1.7387044,1.5,0.0,0.0,0.26076362,0.26631424,0.1824132,-0.23689227,0.026548382,-0.17872328,-0.23819424,-0.19675648,0.20871037,-0.2373464,-0.33041137,-0.171945,-0.23654754,2.5180192,-0.083380416,0.008621128,0.035457186,-0.04701463,0.9982275
0.8901413,-0.094235554,-0.1955026,0.0063973116,0.1188585,-1.152344,0.18378742,0.66253024,-1.8986903,-0.2262825,1.0773059,-2.0545208,0.22373374,0.87169117,-1.7098886,-0.11225852,1.1660906,-1.7336594,1.5,0.0,0.0,0.25599524,0.24567613,0.18830128,-0.23212856,0.070551984,-0.1782356,-0.22982177,-0.21726246,0.20559794,-0.23262677,-0.29760256,-0.16781303,-0.23295075,2.5353029,-0.08620637,0.010530829,0.036314875,-0.05714278,0.9976498
0.97836536,-0.08359144,-0.19934452,-0.5178451,0.0077822316,-0.95386916,0.21787114,0.7621161,-1.9318712,-0.30591735,0.78796726,-2.1910782,0.22311234,0.96106535,-1.7344201,-0.12339573,1.2033098,-1.7131978,1.5,0.0,0.0,0.25066906,0.22459845,0.19369054,-0.22680207,0.15277827,-0.18104908,-0.20374358,-0.23863019,0.20228648,-0.22733602,-0.3076031,-0.17175457,-0.22771905,2.5535288,-0.08971083,0.0070688906,0.037297502,-0.06734522,0.9970073
1.0934693,-0.05155161,-0.15394054,-0.092801884,-0.56899816,-0.73941386,0.2416632,0.8687062,-1.9492508,-0.38823286,0.4702758,-2.1826265,0.24203467,1.0201343,-1.7609409,-0.13546321,1.2560073,-1.6905528,1.5,0.0,0.0,0.24566561,0.20217685,0.19733237,-0.2218955,0.22297889,-0.18746418,-0.16372629,-0.2609361,0.19928144,-0.22241396,-0.32392666,-0.17570244,-0.22282587,2.5737617,-0.09347126,0.00425163,0.034008536,-0.07547049,0.99655885
1.1712004,-0.038644403,-0.070470706,0.31416243,-0.504313,-0.3911366,0.24887559,0.9715957,-1.9471114,-0.44568583,0.19881046,-2.0699046,0.27273145,1.0051647,-1.8119197,-0.1509178,1.3117633,-1.6549095,1.5,0.0,0.0,0.24205032,0.17938374,0.19952096,-0.21828699,0.2789411,-0.1912953,-0.12961331,-0.2715078,0.20223513,-0.21723944,-0.34284344,-0.17825514,-0.21932532,2.5958607,-0.09758524,0.0051395604,0.028671827,-0.08077501,0.99630666
1.2452646,-0.032585558,0.048847225,0.2752821,-0.04238785,-0.14362517,0.24884807,1.0612594,-1.9307518,-0.46936414,0.049554754,-1.9203058,0.30968428,0.8916015,-1.8330009,-0.15906733,1.3459971,-1.5890597,1.5,0.0,0.0,0.24077396,0.15637495,0.20067218,-0.21715781,0.32561386,-0.1927819,-0.11061975,-0.2572855,0.20967257,-0.21057937,-0.36428478,-0.17895071,-0.21821874,2.6196299,-0.1021692,0.00708453,0.026493205,-0.083040535,0.99616885
1.3205962,-0.02552627,0.16755305,0.12003116,0.44685277,-0.17000493,0.24873066,1.1358209,-1.8997979,-0.45327893,0.06845508,-1.7938237,0.333358,0.7146451,-1.7989423,-0.15897845,1.3446068,-1.4840249,1.5,0.0,0.0,0.24197635,0.13220523,0.20148657,-0.21851331,0.35536417,-0.19699399,-0.114255786,-0.22484525,0.21855883,-0.20643431,-0.38756862,-0.17918745,-0.21961507,2.6451273,-0.10705423,0.008087864,0.029206688,-0.08422783,0.99598557
1.3359373,-0.06253122,0.10971807,0.45835888,0.2579641,-0.09853709,0.24671426,1.1996634,-1.8542761,-0.3886373,0.21914203,-1.7226315,0.32968342,0.5404307,-1.7270876,-0.15265444,1.3360739,-1.3810474,1.5,0.0,0.0,0.2431506,0.107604146,0.20264018,-0.21990007,0.35494998,-0.20795476,-0.14623463,-0.1843359,0.22503637,-0.20456047,-0.41158527,-0.17883013,-0.22097549,2.6713705,-0.11256632,0.010437538,0.032197747,-0.08504432,0.9958021
1.3290415,-0.08693928,-0.0728983,0.07453904,0.41088223,-0.40583867,0.24504673,1.2162824,-1.9373195,-0.34144714,0.3599873,-1.7622875,0.29113758,0.44209015,-1.6625795,-0.08974942,1.3893528,-1.487508,1.5,0.0,0.0,0.24129127,0.0826945,0.20453559,-0.21824695,0.32204562,-0.21317786,-0.19427662,-0.14713024,0.22592832,-0.20470871,-0.43204033,-0.17773746,-0.2193318,2.6972613,-0.118600674,0.013442502,0.035650205,-0.087432824,0.99544156
1.2822058,0.0059165163,-0.14743815,0.373759,-0.32111245,-0.1677712,0.24935614,1.1560674,-2.1490805,-0.3387267,0.47994372,-1.8473322,0.28052962,0.54148996,-1.7262347,-0.033409003,1.4278369,-1.7458146,1.5,0.0,0.0,0.23674184,0.09223816,0.20114063,-0.20445387,0.28891763,-0.2088857,-0.21291332,-0.12769288,0.21850415,-0.21123064,-0.42356303,-0.16135976,-0.21094957,2.7224917,-0.12353663,0.0147754615,0.03401132,-0.09031547,0.9952226
1.2858236,0.027499897,-0.045102626,0.99686295,-1.1957482,-0.3351705,0.31343597,0.9826558,-2.3163264,-0.34556478,0.6054334,-1.901305,0.2662311,0.678235,-1.7968788,-0.028561229,1.3749226,-2.0336812,1.5,0.0,0.0,0.23317772,0.13799474,0.19350386,-0.17635322,0.26554567,-0.20775701,-0.20930915,-0.14793995,0.21484227,-0.2094752,-0.37746334,-0.1473057,-0.20487952,2.7474449,-0.12771608,0.02094711,0.024803419,-0.09336709,0.9951024
1.2805117,0.024553666,0.066898175,0.9612796,-1.6930654,-0.48143688,0.42325875,0.68836045,-2.4034455,-0.34778103,0.72818,-1.9215239,0.24571474,0.82609177,-1.8523399,-0.07073344,1.1983644,-2.2265463,1.5,0.0,0.0,0.23223735,0.18895854,0.19550148,-0.13423598,0.2431992,-0.2060688,-0.20825383,-0.17437983,0.21276297,-0.20837992,-0.30676088,-0.14374766,-0.19669041,2.7724407,-0.13202237,0.028139433,0.009621567,-0.09803689,0.99473834
1.2346077,0.03329864,0.18992163,0.96642244,-1.6736201,-0.6125937,0.5053164,0.33293393,-2.3332367,-0.34932584,0.83565485,-1.9123796,0.21742687,0.9689626,-1.8816761,-0.13739483,0.9356337,-2.273316,1.5,0.0,0.0,0.23450448,0.23977172,0.19558582,-0.08138268,0.22258095,-0.20401779,-0.2105537,-0.20047446,0.2099724,-0.21067658,-0.2367499,-0.14846699,-0.185447,2.7967286,-0.13650422,0.036674183,-0.0075043,-0.104178414,0.9938539
1.2402275,0.024451792,0.30560815,0.7516536,-1.6574184,-0.6691494,0.5214264,0.0464815,-2.147056,-0.3480812,0.9246513,-1.8775932,0.18544869,1.0985373,-1.8816384,-0.20288305,0.6494386,-2.1918828,1.5,0.0,0.0,0.23996101,0.29076508,0.19201007,-0.04155919,0.20311299,-0.20169273,-0.2160934,-0.22613837,0.20674428,-0.21620512,-0.1784198,-0.15536135,-0.17929448,2.8204694,-0.14144306,0.0447257,-0.02457771,-0.11130439,0.99247515
1.2825428,-0.00879471,0.41659912,0.3238665,-1.5579448,-0.6183772,0.4829595,-0.11263443,-1.9340901,-0.3384335,0.99577075,-1.8171296,0.1596366,1.2092654,-1.8501492,-0.25250384,0.4000696,-2.0163345,1.5,0.0,0.0,0.24841091,0.341107,0.19001977,-0.020428583,0.18353835,-0.19888552,-0.22464566,-0.2517563,0.20399702,-0.22477046,-0.12514156,-0.16120231,-0.18126315,2.8442376,-0.14756076,0.049282063,-0.040804405,-0.11848121,0.99089277
1.3280184,-0.046925083,0.51032233,-0.12144914,-1.0697316,-0.44398952,0.41065162,-0.13464387,-1.7588297,-0.3194904,1.0475252,-1.7344068,0.14619821,1.2846246,-1.7806582,-0.27189538,0.23093694,-1.8031809,1.5,0.0,0.0,0.2596083,0.3815144,0.19390965,-0.019507468,0.1631207,-0.19585021,-0.23603252,-0.27711815,0.2027099,-0.23614067,-0.07498641,-0.16660656,-0.19095698,2.868219,-0.15517175,0.049200535,-0.053241745,-0.12438569,0.98958224
1.3485199,-0.10548883,0.49082795,0.12516014,0.06434754,-0.2552026,0.33044744,-0.029494727,-1.6456883,-0.30275303,1.0833675,-1.6500422,0.1377494,1.3057282,-1.6686841,-0.262549,0.15478553,-1.620913,1.5,0.0,0.0,0.27187943,0.40274346,0.20414561,-0.044102937,0.14140625,-0.19262,-0.24848734,-0.30161917,0.20376346,-0.24876499,-0.03626712,-0.17087665,-0.2084144,2.892361,-0.16434497,0.04989424,-0.056950957,-0.12791967,0.9888901
1.343267,-0.110521756,0.30611342,-0.55188125,-0.2623257,-0.3154876,0.24209633,0.15648197,-1.5896456,-0.24448532,1.0726172,-1.6960675,0.1332399,1.3482907,-1.6077119,-0.23987219,0.17112543,-1.5218172,1.5,0.0,0.0,0.28180155,0.39569777,0.21788992,-0.09401414,0.119285956,-0.18930659,-0.2585585,-0.32628626,0.20476031,-0.25892192,-0.018072959,-0.17213008,-0.23156539,2.9167535,-0.17398393,0.046413682,-0.058268975,-0.13137765,0.98852944
1.3368018,-0.11068719,0.05463273,-0.71131414,-0.3676085,-0.23409434,0.15198243,0.39116287,-1.5714763,-0.18537532,1.004458,-1.8388367,0.14332563,1.4312217,-1.6708428,-0.22117336,0.27808774,-1.5427872,1.5,0.0,0.0,0.2871639,0.3618721,0.22088382,-0.15348035,0.13090198,-0.17569236,-0.25464275,-0.3488608,0.20144519,-0.25765133,-0.022555891,-0.17223364,-0.25289422,2.9415762,-0.18337809,0.03968867,-0.061500642,-0.13462436,0.9881897
1.312088,-0.06612655,-0.0897574,-0.9404246,-0.073422596,-0.09484068,0.06399985,0.6018196,-1.4818684,-0.16804872,0.8894039,-2.0080905,0.16501148,1.4938953,-1.817301,-0.202104,0.3961327,-1.624477,1.5,0.0,0.0,0.28923523,0.30799147,0.208185,-0.20794837,0.17189662,-0.16313395,-0.23371336,-0.3551789,0.19698715,-0.24280372,-0.04619727,-0.17313738,-0.265265,2.966456,-0.19198923,0.03208635,-0.062723175,-0.1367238,0.9881006
1.3167223,-0.01371818,-0.17824821,-0.05983243,-0.03057595,0.20141907,0.05693704,0.71341884,-1.5165633,-0.21459976,0.716118,-2.1437676,0.1930823,1.4876506,-1.9865235,-0.1900566,0.5131584,-1.7000334,1.5,0.0,0.0,0.28906882,0.24373074,0.18463382,-0.261024,0.21623565,-0.16226827,-0.19491334,-0.33963054,0.1947829,-0.22223586,-0.07219525,-0.17264621,-0.26507282,2.9916844,-0.1996102,0.026702207,-0.06157387,-0.13581309,0.98845863
1.348611,0.025722396,-0.20017973,-0.46943593,-0.30637163,0.24503511,0.06101053,0.808614,-1.5408283,-0.29471278,0.4827294,-2.187356,0.23107499,1.4228368,-2.1385202,-0.18489464,0.6399563,-1.7709346,1.5,0.0,0.0,0.2883142,0.21380332,0.17796749,-0.26474363,0.25482827,-0.1710348,-0.1463724,-0.3076679,0.1938154,-0.20249453,-0.09888901,-0.17271274,-0.2643251,3.017694,-0.20644604,0.02295969,-0.063147806,-0.13378017,0.98873055
1.3728255,0.045794908,-0.176124,-0.5971834,-0.37916592,0.33539948,0.06726127,0.8998184,-1.5491809,-0.37698105,0.20922352,-2.1491234,0.27607042,1.3030796,-2.2416768,-0.17640568,0.77003556,-1.8261826,1.5,0.0,0.0,0.28792074,0.18888217,0.1761758,-0.26442695,0.29076725,-0.17982057,-0.09926747,-0.2698991,0.19480374,-0.1832289,-0.1260796,-0.17300525,-0.2638927,3.0443366,-0.21279866,0.016987473,-0.0657251,-0.1312507,0.98902225
1.3892424,0.053478725,-0.098133,-0.60079867,-0.25362098,0.4182452,0.07313548,0.97896487,-1.5374843,-0.4470243,-0.056652427,-2.043967,0.31134477,1.1405371,-2.2751276,-0.16540574,0.894103,-1.8567474,1.5,0.0,0.0,0.2889384,0.16425045,0.17417939,-0.2655289,0.3277589,-0.1834685,-0.05300899,-0.23330565,0.19662361,-0.1678555,-0.1534546,-0.1730091,-0.26489437,3.071257,-0.21894333,0.010751226,-0.06768781,-0.12788872,0.9894176
